ticket_id,user_id,customer,category,priority,description,attribute_list,sensitive_flag
0,183,2,2,1,"Dear team, I am shifting to Nelsonmouth from Port Stevenstad due to business requirement. Please let me know the procedure to claim the travel allowance.",city city,0
1,120,3,2,3,"Hi,I am Gregory Hunter and my employee ID is EMP654-91-0189. 
I am having trouble with my travel claim, my expense amount was $702.98 for reimbursement.
 My other details such as designation is Interior and spatial designer and email is rickyreynolds@gmail.com. 
The payment was done with given credit card number 3542249851174427 and credit card type Mastercard.",name ssn money job mail credit_card_number cc_provider,1
2,167,3,6,3,"Hi, I have been logged out of my account and cannot login back. my username is jessecooley. Please resolve it.",username,0
3,31,2,2,3,"Hi,I am Donna Johnson and my employee ID is EMP726-87-0327. 
I am having trouble with my travel claim, my expense amount was $6,574.08 for reimbursement.
 My other details such as designation is Artist and email is nhicks@yahoo.com. 
The payment was done with given credit card number 36931828554968 and credit card type Maestro.",name ssn money job mail credit_card_number cc_provider,1
4,155,3,7,3,"I recently purchased Ceiling Fan for the amount $6.87 on date 1990-10-29, but it is defective. I have attached a picture of the defect for your reference. I want to return it. Please schedule the pickup for date 1992-03-20 from my home 2396 Theresa Mountains Suite 700
East Stephanie, MH 81316 and initiate a refund to my credit card 4784389873852090.",product_name money date date residence credit_card_number,1
5,123,0,1,3,"Hi, my team needs a new Air Conditioner for the project kindly help us to come up with the quote for the said product.",product_name,0
6,133,4,2,3,"Hi, I need $783.31 for my international business travel that is on 1978-03-12 please see the attached itinerary and approval. Thank you.",money date,0
7,149,0,4,2,"Hi Team, can you please confirm whether on the 2010-09-25 we have a vacation or not as in my state it is a regional festival.",date,0
8,9,1,4,3,Hi HR team I want to refer my friend for the Materials engineer but I cannot access the referral site. Can you please accept this referral through this mail.,job,0
9,167,3,1,3,Hi team I want to change my salary structure according to the given details please update my salary structure.,,0
10,88,3,7,2,"I am experiencing technical issues with Sewing Machine. It shows error code 500. I have tried troubleshooting by going through help documents, but the issue still persists. Please assist me in resolving the issue. My account details are: username nreynolds, Email tyler32@gmail.com.",product_name username mail,1
11,13,4,3,2,"Hi, since yesterday I am trying to apply for leave but I am not able to. The system shows an error. I have to take an urgent leave. Please resolve the issue.",,0
12,32,3,4,3,"Hi I am Brandi Henry, currently working as Chemist, analytical. I want to upskill and move up the ladder. For that i need access to few educational resources listed below. Please approve the access for same",name job,1
13,161,4,7,3,"Hi team, I need the catalogue of available Blender for purchase with the price listed. Please send me the catalogue.",product_name,0
14,98,4,2,2,"Hi,I am Kimberly Gonzales and my employee ID is EMP235-51-8469. 
I am having trouble with my travel claim, my expense amount was $6,872.76 for reimbursement.
 My other details such as designation is Radio producer and email is greenelizabeth@hotmail.com. 
The payment was done with given credit card number 4932555149688952 and credit card type JCB 15 digit.",name ssn money job mail credit_card_number cc_provider,1
