ticket_id,customer,category,priority,inter_arr_time,arr_time,description,attribute_list,sensitive_flag
0,2,4,0,1.081,1.081,Hi HR team I want to refer my friend for the Passenger transport manager but I cannot access the referral site. Can you please accept this referral through this mail.,job,0
1,1,4,3,0.074,1.155,Hi HR team I want to refer my friend for the Ophthalmologist but I cannot access the referral site. Can you please accept this referral through this mail.,job,0
2,1,7,3,1.348,2.503,"Hi, I have a need of Washing Machine in my team. How long it will take for us to procure it? Do we have any spare available. I need it urgently for our project.",product_name,0
3,4,0,3,0.063,2.566,"Hi, I want the installation of python package tkinter. It is required for the development. I am attaching the approval of my manager. PFA. Thank you",python_package,1
4,4,6,2,0.698,3.264,"I am unable to log in to my account. My credentials are, username parrishstephanie, email kelly64@gmail.com. I have verified that the username and password are correct, but the system keeps displaying an error message. I have tried resetting my password and clearing my cache, but the issue persists.",username mail,1
5,1,6,3,0.399,3.663,"I have recently moved and would like to update my account information with my new address. My new address is 27893 Cox Radial
Cowanberg, AZ 90748. Please assist me with updating my account information.",residence,1
6,4,7,2,0.216,3.879,"Hi, I have a need of Air Conditioner in my team. How long it will take for us to procure it? Do we have any spare available. I need it urgently for our project.",product_name,0
7,1,2,1,0.347,4.226,"Dear team, I am shifting to South Brenda from New Michelleland due to business requirement. Please let me know the procedure to claim the travel allowance.",city city,0
8,0,0,3,0.654,4.88,"hi team, I am Susan Silva and my employee id is 326-21-8461. I need the installation of VSCode for the development purpose. I have attached required approvals in the attachment. thank you.",name ssn software,1
9,3,4,3,1.741,6.621,"Dear team, I want more members in my team. The project requires more skilled employee for the early completion of client project. My employee id is 376-07-6936. Please initiate the recruitment under my project. thanks",ssn,1
10,2,0,3,0.895,7.516,"Hi team, I am not able to run Acrobat Reader in my system due to internal error. Please see the attached error and resolve the issue",software,0
11,3,1,1,0.242,7.758,"Hi, my team needs a new Microwave for the project kindly help us to come up with the quote for the said product.",product_name,0
12,3,1,2,0.154,7.912,"Hi,I am Ashley Fitzgerald and my employee ID is EMP366-24-9195. 
I am having trouble with my hardware claim, my expense amount was $7,576.15 for reimbursement. 
My other details such as designation is Conservation officer, nature, userid yburnett and email is qli@hotmail.com.",name ssn money job username mail,1
13,0,0,3,0.983,8.895,"Hi team, I am not able to run Jira in my system due to internal error. Please see the attached error and resolve the issue",software,0
14,2,6,2,0.179,9.074,"I have recently moved and would like to update my account information with my new address. My new address is 1187 Brandon Field Suite 099
Baxterborough, MT 12506. Please assist me with updating my account information.",residence,1
15,1,1,3,0.721,9.795,"Hi, my team needs a new Waffle Iron for the project kindly help us to come up with the quote for the said product.",product_name,0
16,0,5,3,1.198,10.993,"Hi,I am Gregory Williams and my employee ID is EMP844-61-6770 from Hernandez, Cooper and Flores. 
I am having trouble with health account, my National Health Scheme number is 844-61-6770 and amount was $528.49. 
My other details such as email is jason72@gmail.com and postal code is 10514. 
Please look into matter. My place of residence is 062 Renee Drive
South Jenniferfurt, AK 14342.",name ssn company ssn money mail zip_code address,1
17,3,4,2,2.231,13.224,"Hi team, I want to avail the maternity benefit from 1997-03-18. My employee ID is 470-28-1115 and designation is Ship broker. Kindly approve the same. Ihave attched the required documents. PFA",date ssn job,1
18,3,4,3,0.814,14.038,"Hi Team, I was wondering whether this Hotel manager is still available in this team. I want to refer my friend for this role. please confirm.",job,0
19,0,5,3,0.372,14.41,"Hi,I am Kim Williams DVM and I work in Jackson-Flores. My employee ID is EMP166-99-2016. 
I am having trouble with health account, my userid is ncastro and amount was $1.51. 
My postal code is 85983. My country of residence is 34944 Bryant Island Apt. 422
West Billy, FL 78115. 
Please look into matter asap.",name company ssn username money zip_code address,1
20,3,7,2,0.645,15.055,"I am experiencing technical issues with Vacuum Cleaner. It shows error code 500. I have tried troubleshooting by going through help documents, but the issue still persists. Please assist me in resolving the issue. My account details are: username huynhjuan, Email holly36@hotmail.com.",product_name username mail,1
21,0,3,2,1.071,16.126,"Hi, since yesterday I am trying to apply for leave but I am not able to. The system shows an error. I have to take an urgent leave. Please resolve the issue.",,0
22,4,1,2,2.115,18.241,"Hi,I am Charlene Rodriguez and my employee ID is EMP081-40-7130. 
I am having trouble with my hardware claim, my expense amount was $44.15 for reimbursement. 
My other details such as designation is Lighting technician, broadcasting/film/video, userid nathan01 and email is kcarpenter@gmail.com.",name ssn money job username mail,1
23,4,0,3,2.7,20.941,Hi team I want to access http://ortega-park.com/ website for research purpose kindly remove the site from the proxy,url,0
24,1,4,3,1.479,22.42,"Hi Team, I was wondering whether this Accountant, chartered public finance is still available in this team. I want to refer my friend for this role. please confirm.",job,0
25,4,3,2,0.835,23.255,"Hi team, I am Dylan Macias, employee id 502-35-3308. I want to unpaid leave for the year. I am going to take executive degree from ISB Hyderabad. Thank you.",name ssn,1
